MMSI#;IMO#;Kallesignal;Skipsnavn;Passeringer;Tidspunkt (UTC);Skipstype;BT;DWT;L;B;H;D;Land
257947600;0;;;1;12.05.2021 20:31;;;;0;0;0;0;
258009420;0;;;1;12.05.2021 12:30;;;;0;0;0;0;
258009420;0;;;1;12.05.2021 18:00;;;;0;0;0;0;
258992550;0;;;1;12.05.2021 14:30;;;;0;0;0;0;
211624230;0;;;1;13.05.2021 09:40;;;;0;0;0;0;
257034770;0;;;1;13.05.2021 10:15;;;;0;0;0;0;
257042260;0;;;1;13.05.2021 10:52;;;;0;0;0;0;
257042260;0;;;2;13.05.2021 14:32;;;;0;0;0;0;
257042260;0;;;1;13.05.2021 14:48;;;;0;0;0;0;
257114300;0;;;1;13.05.2021 14:57;;;;0;0;0;0;
257114300;0;;;1;13.05.2021 15:15;;;;0;0;0;0;
257504450;0;;;1;13.05.2021 13:45;;;;0;0;0;0;
257638880;0;;;1;13.05.2021 09:54;;;;0;0;0;0;
257665080;0;;;1;13.05.2021 10:00;;;;0;0;0;0;
257752570;0;;;1;13.05.2021 09:47;;;;0;0;0;0;
257784540;0;;;1;13.05.2021 16:00;;;;0;0;0;0;
257900140;0;;;1;13.05.2021 09:51;;;;0;0;0;0;
257956270;0;;;1;13.05.2021 10:00;;;;0;0;0;0;
258003240;0;;;1;13.05.2021 14:15;;;;0;0;0;0;
258090950;0;;;1;13.05.2021 10:15;;;;0;0;0;0;
258105870;0;;;1;13.05.2021 09:44;;;;0;0;0;0;
258107280;0;;;1;13.05.2021 10:00;;;;0;0;0;0;
258114570;0;;;1;13.05.2021 10:00;;;;0;0;0;0;
258129330;0;;;1;13.05.2021 09:34;;;;0;0;0;0;
258175960;0;;;1;13.05.2021 09:52;;;;0;0;0;0;
258316830;0;;;1;13.05.2021 12:00;;;;0;0;0;0;
258992550;0;;;1;13.05.2021 10:15;;;;0;0;0;0;
257042260;0;;;1;14.05.2021 12:01;;;;0;0;0;0;
257042260;0;;;1;14.05.2021 15:48;;;;0;0;0;0;
257067540;0;;;1;14.05.2021 13:31;;;;0;0;0;0;
257127060;0;;;1;14.05.2021 06:37;;;;0;0;0;0;
258107280;0;;;1;14.05.2021 16:15;;;;0;0;0;0;
258128640;0;;;1;14.05.2021 10:55;;;;0;0;0;0;
258152180;0;;;1;14.05.2021 13:35;;;;0;0;0;0;
314548000;0;;;1;14.05.2021 07:30;;;;0;0;0;0;
257003550;0;;Jens Bye;1;15.05.2021 16:06;;;;12,6;0;0;0,6;
257003550;0;;Jens Bye;1;15.05.2021 19:02;;;;12,6;0;0;0,6;
257056980;0;;;1;15.05.2021 11:46;;;;0;0;0;0;
257202800;0;;Harry Borthen;1;15.05.2021 10:17;;;;17,69;0;0;0;
257638880;0;;;1;15.05.2021 14:00;;;;0;0;0;0;
257665080;0;;;1;15.05.2021 14:31;;;;0;0;0;0;
257752570;0;;;1;15.05.2021 16:00;;;;0;0;0;0;
257956270;0;;;1;15.05.2021 13:15;;;;0;0;0;0;
257094570;0;;;1;21.01.2022 09:00;;;;0;0;0;0;
